0.312243	0.58034	0	0	0.312243	0.58034	0.6	0.6	5.19994	0
0.779913	0.722413	6.6526	1.97674	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1.19545	0.53506	10.3165	-0.0109552	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.03637	0.564029	4.62084	2.55606	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.36404	0.700594	4.98245	2.14727	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.7248	0.643717	5.39816	0.998059	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
2.03916	0.690589	5.51726	0.864784	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.28041	0.691145	5.28201	0.66029	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.56834	0.714815	5.33485	0.58079	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.84951	0.699015	5.32567	0.357268	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
3.09696	0.704765	5.29462	0.325933	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.39191	0.629538	5.32961	-0.072774	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.70675	0.558949	5.43293	-0.365763	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
3.98787	0.57909	5.48455	-0.217794	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
4.27021	0.569848	5.49885	-0.2148	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.52703	0.592016	5.32679	-0.10525	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.71371	0.672529	5.1751	0.224725	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.96591	0.669769	5.01602	0.157666	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
5.26795	0.665215	5.11201	0.102363	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.52954	0.671586	5.27516	0.122509	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.83095	0.683355	5.34425	0.133513	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
